Accumula Town	Black and White	Pokemon	https://youtu.be/p3y5dtLOaQk
Nuvema Town	Black and White	Pokemon	https://youtu.be/7zCe5nOuvNM
Battle! Trainer	Black and White	Pokemon	https://youtu.be/3VHvOeuy_Ak
Nacrene City	Black and White	Pokemon	https://youtu.be/yBz3puTQhC4
Driftveil City	Black and White	Pokemon	https://youtu.be/xc_0wfIuuzw
Battle! N (Final)	Black and White	Pokemon	https://youtu.be/O0ajBL15Knk
Team Plasma Battle	Black and White	Pokemon	https://youtu.be/pF1n0GflZMg
Battle! Rival (Cheren/Bianca)	Black and White	Pokemon	https://youtu.be/_Yr5Taoyalo
Village Bridge	Black and White	Pokemon	https://youtu.be/ctpCYukHV6s
Nimbasa City	Black and White	Pokemon	https://youtu.be/BLYU--FRzOU
Professor Juniper's Theme	Black and White	Pokemon	https://youtu.be/dvFlyfN_fko
Bicycle	Black and White	Pokemon	https://youtu.be/KJLW1aXLkTg
Battle! Reshiram/Zekrom	Black and White	Pokemon	https://youtu.be/osBuSrEho-U
Dreamyard	Black and White	Pokemon	https://youtu.be/hHFP9AIjioU
Battle! Gym Leader	Black and White	Pokemon	https://youtu.be/gFRw4tSDnjs
Castelia City	Black and White	Pokemon	https://youtu.be/M_pwLX0_aVU
Battle! Ghetsis	Black and White	Pokemon	https://youtu.be/LEbLAFHo5Ts
Juniper's Pokémon Research Laboratory	Black and White	Pokemon	https://youtu.be/7nEWOkDkzbE
Striaton City	Black and White	Pokemon	https://youtu.be/3VPoaGTHEIg
Battle! Wild Pokémon	Black and White	Pokemon	https://youtu.be/pXJ9Sn5lEHc
Battle! Elite Four	Black and White	Pokemon	https://youtu.be/llnXhrCn9Yo
N's Castle	Black and White	Pokemon	https://youtu.be/Pz-n3eXg7pc
Skyarrow Bridge	Black and White	Pokemon	https://youtu.be/AWy-fL5Evw4
Icirrus City	Black and White	Pokemon	https://youtu.be/vMTqSl-usYI
Mistralton City	Black and White	Pokemon	https://youtu.be/q3dffjin4MI
Battle! Legendary Pokémon	Black and White	Pokemon	https://youtu.be/V3Q4WFYWGdY
Victory Is Right Before Your Eyes!	Black and White	Pokemon	https://youtu.be/0NhzYd9NUWk
Crisis in Battle!	Black and White	Pokemon	https://youtu.be/aLVr0VfeLmk
Undella Town (Autumn / Winter / Spring)	Black and White	Pokemon	https://youtu.be/rgLsfd5uplQ
Embracing One's Duty	Black and White	Pokemon	https://youtu.be/1DCPY-7vz00
PWT Final Battle	Black 2 and White 2	Pokemon	https://youtu.be/uUY5KjHwczY
Battle! Colress	Black 2 and White 2	Pokemon	https://youtu.be/qDZygFP1iNQ
Battle! Rival	Black 2 and White 2	Pokemon	https://youtu.be/bI2WzOONl7w
Battle! Ghetsis	Black 2 and White 2	Pokemon	https://youtu.be/VxV0eDM-TUw
Battle! Neo Plasma	Black 2 and White 2	Pokemon	https://youtu.be/-vCbwiGamBw
Nimbasa Gym - Stage	Black 2 and White 2	Pokemon	https://youtu.be/FGI4z7wBPEE
Phenac City	Colosseum	Pokemon	https://youtu.be/ZjReRTJZt88
Normal Battle	Colosseum	Pokemon	https://youtu.be/M9f2_u5luhw
Final Battle	Colosseum	Pokemon	https://youtu.be/VDoZy4r3_8I
The Under	Colosseum	Pokemon	https://youtu.be/3pjhPrSWQoM
Miror B's Retro Groove	Colosseum	Pokemon	https://youtu.be/XID5xI4_Gds
Pyrite Town	Colosseum	Pokemon	https://youtu.be/YbkkrFAoT2Q
Friendly Battle	Colosseum	Pokemon	https://youtu.be/UciyoCQb32U
Vs. Mode Battle #1	Colosseum	Pokemon	https://youtu.be/e-cvkq807ag
Cipher Peon Battle	Colosseum	Pokemon	https://youtu.be/LnG-xcbsj3s
Floaroma Town (Day)	Diamond and Pearl	Pokemon	https://youtu.be/r8AB6VzBsE4
Battle! Elite Four	Diamond and Pearl	Pokemon	https://youtu.be/c_MavjffFRA
Eterna Forest	Diamond and Pearl	Pokemon	https://youtu.be/YFzw8ygfw4Y
Game Corner	Diamond and Pearl	Pokemon	https://youtu.be/xaF-QdRhvrE
Professor Rowan's Laboratory	Diamond and Pearl	Pokemon	https://youtu.be/0Bq_tYRBzdg
Battle! Trainer	Diamond and Pearl	Pokemon	https://youtu.be/qtzPna9yFjg
Jubilife City (Day)	Diamond and Pearl	Pokemon	https://youtu.be/IyB2OHaXdco
Battle! Team Galactic	Diamond and Pearl	Pokemon	https://youtu.be/GB1nLTo68hM
Eterna City (Day)	Diamond and Pearl	Pokemon	https://youtu.be/Jb5gWqUBtvk
Hearthome City (Day)	Diamond and Pearl	Pokemon	https://youtu.be/eXea1obqc-M
Battle! Rival	Diamond and Pearl	Pokemon	https://youtu.be/hv8g5u55QFA
Solaceon Town (Day)	Diamond and Pearl	Pokemon	https://youtu.be/5mbt-VCp_KQ
Sandgem Town (Day)	Diamond and Pearl	Pokemon	https://youtu.be/XElZEE9t-5E
Battle! Gym Leader	Diamond and Pearl	Pokemon	https://youtu.be/qiCpFkybzeI
Battle! Champion Cynthia	Diamond and Pearl	Pokemon	https://youtu.be/rXefFHRgyE0
Battle! Lake Guardians (Uxie/Mesprit/Azelf)	Diamond and Pearl	Pokemon	https://youtu.be/tK1PWoWdUXY
Oreburgh City (Day)	Diamond and Pearl	Pokemon	https://youtu.be/P1AbuG2tb0I
Champion Cynthia Encounter	Diamond and Pearl	Pokemon	https://youtu.be/cho2NsCKZZc
Lake	Diamond and Pearl	Pokemon	https://youtu.be/luKuQNEuXBA
Mt. Coronet	Diamond and Pearl	Pokemon	https://youtu.be/8hASaRRCwgc
Battle! Wild Pokémon	Diamond and Pearl	Pokemon	https://youtu.be/O35J-aNajG4
Battle! Dialga/Palkia	Diamond and Pearl	Pokemon	https://youtu.be/3go01DLQDE4
Route 209 (Day)	Diamond and Pearl	Pokemon	https://youtu.be/qAH6hNFkHTw
Canalave City (Day)	Diamond and Pearl	Pokemon	https://youtu.be/gQaddqGL1Do
Twinleaf Town (Day)	Diamond and Pearl	Pokemon	https://youtu.be/Mh1gBFo38ac
Underground Passage	Diamond and Pearl	Pokemon	https://youtu.be/HPzmrbCFlp4
